,Name,Gender,letters,name_length,gen_code,encoded_names
4137,<SOS>charlottie<EOS> ,girl,"['c', 'h', 'a', 'r', 'l', 'o', 't', 't', 'i', 'e']",10,0.0,"[1, 5, 10, 3, 20, 14, 17, 22, 22, 11, 7, 2, 0]"
1544,<SOS>alger<EOS>      ,boy,"['a', 'l', 'g', 'e', 'r']",5,1.0,"[1, 3, 14, 9, 7, 20, 2, 0, 0, 0, 0, 0, 0]"
4724,<SOS>laurette<EOS>   ,girl,"['l', 'a', 'u', 'r', 'e', 't', 't', 'e']",8,0.0,"[1, 14, 3, 23, 20, 7, 22, 22, 7, 2, 0, 0, 0]"
871,<SOS>jessee<EOS>     ,boy,"['j', 'e', 's', 's', 'e', 'e']",6,1.0,"[1, 12, 7, 21, 21, 7, 7, 2, 0, 0, 0, 0, 0]"
851,<SOS>ernie<EOS>      ,boy,"['e', 'r', 'n', 'i', 'e']",5,1.0,"[1, 7, 20, 16, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
1835,<SOS>reynold<EOS>    ,boy,"['r', 'e', 'y', 'n', 'o', 'l', 'd']",7,1.0,"[1, 20, 7, 27, 16, 17, 14, 6, 2, 0, 0, 0, 0]"
5809,<SOS>lasonya<EOS>    ,girl,"['l', 'a', 's', 'o', 'n', 'y', 'a']",7,0.0,"[1, 14, 3, 21, 17, 16, 27, 3, 2, 0, 0, 0, 0]"
1903,<SOS>von<EOS>        ,boy,"['v', 'o', 'n']",3,1.0,"[1, 24, 17, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
1362,<SOS>jep<EOS>        ,boy,"['j', 'e', 'p']",3,1.0,"[1, 12, 7, 18, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5353,<SOS>drema<EOS>      ,girl,"['d', 'r', 'e', 'm', 'a']",5,0.0,"[1, 6, 20, 7, 15, 3, 2, 0, 0, 0, 0, 0, 0]"
6257,<SOS>shanelle<EOS>   ,girl,"['s', 'h', 'a', 'n', 'e', 'l', 'l', 'e']",8,0.0,"[1, 21, 10, 3, 16, 7, 14, 14, 7, 2, 0, 0, 0]"
448,<SOS>frances<EOS>    ,boy,"['f', 'r', 'a', 'n', 'c', 'e', 's']",7,1.0,"[1, 8, 20, 3, 16, 5, 7, 21, 2, 0, 0, 0, 0]"
5276,<SOS>sherryl<EOS>    ,girl,"['s', 'h', 'e', 'r', 'r', 'y', 'l']",7,0.0,"[1, 21, 10, 7, 20, 20, 27, 14, 2, 0, 0, 0, 0]"
4474,<SOS>mattye<EOS>     ,girl,"['m', 'a', 't', 't', 'y', 'e']",6,0.0,"[1, 15, 3, 22, 22, 27, 7, 2, 0, 0, 0, 0, 0]"
4670,<SOS>olar<EOS>       ,girl,"['o', 'l', 'a', 'r']",4,0.0,"[1, 17, 14, 3, 20, 2, 0, 0, 0, 0, 0, 0, 0]"
3131,<SOS>phoenix<EOS>    ,boy,"['p', 'h', 'o', 'e', 'n', 'i', 'x']",7,1.0,"[1, 18, 10, 17, 7, 16, 11, 26, 2, 0, 0, 0, 0]"
4815,<SOS>roslyn<EOS>     ,girl,"['r', 'o', 's', 'l', 'y', 'n']",6,0.0,"[1, 20, 17, 21, 14, 27, 16, 2, 0, 0, 0, 0, 0]"
4968,<SOS>elwanda<EOS>    ,girl,"['e', 'l', 'w', 'a', 'n', 'd', 'a']",7,0.0,"[1, 7, 14, 25, 3, 16, 6, 3, 2, 0, 0, 0, 0]"
3162,<SOS>koby<EOS>       ,boy,"['k', 'o', 'b', 'y']",4,1.0,"[1, 13, 17, 4, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
1449,<SOS>nora<EOS>       ,boy,"['n', 'o', 'r', 'a']",4,1.0,"[1, 16, 17, 20, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
1090,<SOS>sebastian<EOS>  ,boy,"['s', 'e', 'b', 'a', 's', 't', 'i', 'a', 'n']",9,1.0,"[1, 21, 7, 4, 3, 21, 22, 11, 3, 16, 2, 0, 0]"
6581,<SOS>yuliana<EOS>    ,girl,"['y', 'u', 'l', 'i', 'a', 'n', 'a']",7,0.0,"[1, 27, 23, 14, 11, 3, 16, 3, 2, 0, 0, 0, 0]"
890,<SOS>ruby<EOS>       ,boy,"['r', 'u', 'b', 'y']",4,1.0,"[1, 20, 23, 4, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
589,<SOS>lindsey<EOS>    ,boy,"['l', 'i', 'n', 'd', 's', 'e', 'y']",7,1.0,"[1, 14, 11, 16, 6, 21, 7, 27, 2, 0, 0, 0, 0]"
5096,<SOS>celine<EOS>     ,girl,"['c', 'e', 'l', 'i', 'n', 'e']",6,0.0,"[1, 5, 7, 14, 11, 16, 7, 2, 0, 0, 0, 0, 0]"
523,<SOS>wheeler<EOS>    ,boy,"['w', 'h', 'e', 'e', 'l', 'e', 'r']",7,1.0,"[1, 25, 10, 7, 7, 14, 7, 20, 2, 0, 0, 0, 0]"
899,<SOS>thad<EOS>       ,boy,"['t', 'h', 'a', 'd']",4,1.0,"[1, 22, 10, 3, 6, 2, 0, 0, 0, 0, 0, 0, 0]"
4149,<SOS>dicy<EOS>       ,girl,"['d', 'i', 'c', 'y']",4,0.0,"[1, 6, 11, 5, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
3882,<SOS>orilla<EOS>     ,girl,"['o', 'r', 'i', 'l', 'l', 'a']",6,0.0,"[1, 17, 20, 11, 14, 14, 3, 2, 0, 0, 0, 0, 0]"
2503,<SOS>tobin<EOS>      ,boy,"['t', 'o', 'b', 'i', 'n']",5,1.0,"[1, 22, 17, 4, 11, 16, 2, 0, 0, 0, 0, 0, 0]"
5238,<SOS>adrianne<EOS>   ,girl,"['a', 'd', 'r', 'i', 'a', 'n', 'n', 'e']",8,0.0,"[1, 3, 6, 20, 11, 3, 16, 16, 7, 2, 0, 0, 0]"
564,<SOS>truman<EOS>     ,boy,"['t', 'r', 'u', 'm', 'a', 'n']",6,1.0,"[1, 22, 20, 23, 15, 3, 16, 2, 0, 0, 0, 0, 0]"
2481,<SOS>tracey<EOS>     ,boy,"['t', 'r', 'a', 'c', 'e', 'y']",6,1.0,"[1, 22, 20, 3, 5, 7, 27, 2, 0, 0, 0, 0, 0]"
5748,<SOS>mellisa<EOS>    ,girl,"['m', 'e', 'l', 'l', 'i', 's', 'a']",7,0.0,"[1, 15, 7, 14, 14, 11, 21, 3, 2, 0, 0, 0, 0]"
5845,<SOS>celena<EOS>     ,girl,"['c', 'e', 'l', 'e', 'n', 'a']",6,0.0,"[1, 5, 7, 14, 7, 16, 3, 2, 0, 0, 0, 0, 0]"
3229,<SOS>ean<EOS>        ,boy,"['e', 'a', 'n']",3,1.0,"[1, 7, 3, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4580,<SOS>betha<EOS>      ,girl,"['b', 'e', 't', 'h', 'a']",5,0.0,"[1, 4, 7, 22, 10, 3, 2, 0, 0, 0, 0, 0, 0]"
2268,<SOS>darwyn<EOS>     ,boy,"['d', 'a', 'r', 'w', 'y', 'n']",6,1.0,"[1, 6, 3, 20, 25, 27, 16, 2, 0, 0, 0, 0, 0]"
1715,<SOS>adlai<EOS>      ,boy,"['a', 'd', 'l', 'a', 'i']",5,1.0,"[1, 3, 6, 14, 3, 11, 2, 0, 0, 0, 0, 0, 0]"
1182,<SOS>linus<EOS>      ,boy,"['l', 'i', 'n', 'u', 's']",5,1.0,"[1, 14, 11, 16, 23, 21, 2, 0, 0, 0, 0, 0, 0]"
2625,<SOS>tye<EOS>        ,boy,"['t', 'y', 'e']",3,1.0,"[1, 22, 27, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5781,<SOS>chantelle<EOS>  ,girl,"['c', 'h', 'a', 'n', 't', 'e', 'l', 'l', 'e']",9,0.0,"[1, 5, 10, 3, 16, 22, 7, 14, 14, 7, 2, 0, 0]"
3880,<SOS>millicent<EOS>  ,girl,"['m', 'i', 'l', 'l', 'i', 'c', 'e', 'n', 't']",9,0.0,"[1, 15, 11, 14, 14, 11, 5, 7, 16, 22, 2, 0, 0]"
1784,<SOS>myer<EOS>       ,boy,"['m', 'y', 'e', 'r']",4,1.0,"[1, 15, 27, 7, 20, 2, 0, 0, 0, 0, 0, 0, 0]"
668,<SOS>minnie<EOS>     ,boy,"['m', 'i', 'n', 'n', 'i', 'e']",6,1.0,"[1, 15, 11, 16, 16, 11, 7, 2, 0, 0, 0, 0, 0]"
3167,<SOS>ronaldo<EOS>    ,boy,"['r', 'o', 'n', 'a', 'l', 'd', 'o']",7,1.0,"[1, 20, 17, 16, 3, 14, 6, 17, 2, 0, 0, 0, 0]"
2121,<SOS>garth<EOS>      ,boy,"['g', 'a', 'r', 't', 'h']",5,1.0,"[1, 9, 3, 20, 22, 10, 2, 0, 0, 0, 0, 0, 0]"
6377,<SOS>zhane<EOS>      ,girl,"['z', 'h', 'a', 'n', 'e']",5,0.0,"[1, 28, 10, 3, 16, 7, 2, 0, 0, 0, 0, 0, 0]"
4609,<SOS>elia<EOS>       ,girl,"['e', 'l', 'i', 'a']",4,0.0,"[1, 7, 14, 11, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
3956,<SOS>calla<EOS>      ,girl,"['c', 'a', 'l', 'l', 'a']",5,0.0,"[1, 5, 3, 14, 14, 3, 2, 0, 0, 0, 0, 0, 0]"
622,<SOS>lum<EOS>        ,boy,"['l', 'u', 'm']",3,1.0,"[1, 14, 23, 15, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
744,<SOS>aden<EOS>       ,boy,"['a', 'd', 'e', 'n']",4,1.0,"[1, 3, 6, 7, 16, 2, 0, 0, 0, 0, 0, 0, 0]"
6122,<SOS>ciera<EOS>      ,girl,"['c', 'i', 'e', 'r', 'a']",5,0.0,"[1, 5, 11, 7, 20, 3, 2, 0, 0, 0, 0, 0, 0]"
681,<SOS>addie<EOS>      ,boy,"['a', 'd', 'd', 'i', 'e']",5,1.0,"[1, 3, 6, 6, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
4842,<SOS>rosabelle<EOS>  ,girl,"['r', 'o', 's', 'a', 'b', 'e', 'l', 'l', 'e']",9,0.0,"[1, 20, 17, 21, 3, 4, 7, 14, 14, 7, 2, 0, 0]"
4969,<SOS>elayne<EOS>     ,girl,"['e', 'l', 'a', 'y', 'n', 'e']",6,0.0,"[1, 7, 14, 3, 27, 16, 7, 2, 0, 0, 0, 0, 0]"
1681,<SOS>ras<EOS>        ,boy,"['r', 'a', 's']",3,1.0,"[1, 20, 3, 21, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4171,<SOS>zilpah<EOS>     ,girl,"['z', 'i', 'l', 'p', 'a', 'h']",6,0.0,"[1, 28, 11, 14, 18, 3, 10, 2, 0, 0, 0, 0, 0]"
4633,<SOS>herma<EOS>      ,girl,"['h', 'e', 'r', 'm', 'a']",5,0.0,"[1, 10, 7, 20, 15, 3, 2, 0, 0, 0, 0, 0, 0]"
6131,<SOS>jazmine<EOS>    ,girl,"['j', 'a', 'z', 'm', 'i', 'n', 'e']",7,0.0,"[1, 12, 3, 28, 15, 11, 16, 7, 2, 0, 0, 0, 0]"
520,<SOS>ted<EOS>        ,boy,"['t', 'e', 'd']",3,1.0,"[1, 22, 7, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
662,<SOS>lafe<EOS>       ,boy,"['l', 'a', 'f', 'e']",4,1.0,"[1, 14, 3, 8, 7, 2, 0, 0, 0, 0, 0, 0, 0]"
5005,<SOS>ardelle<EOS>    ,girl,"['a', 'r', 'd', 'e', 'l', 'l', 'e']",7,0.0,"[1, 3, 20, 6, 7, 14, 14, 7, 2, 0, 0, 0, 0]"
828,<SOS>candido<EOS>    ,boy,"['c', 'a', 'n', 'd', 'i', 'd', 'o']",7,1.0,"[1, 5, 3, 16, 6, 11, 6, 17, 2, 0, 0, 0, 0]"
