,Name,Gender,letters,name_length,gen_code,encoded_names
2528,<SOS>stephon<EOS>    ,boy,"['s', 't', 'e', 'p', 'h', 'o', 'n']",7,1.0,"[1, 21, 22, 7, 18, 10, 17, 16, 2, 0, 0, 0, 0]"
4292,<SOS>daisye<EOS>     ,girl,"['d', 'a', 'i', 's', 'y', 'e']",6,0.0,"[1, 6, 3, 11, 21, 27, 7, 2, 0, 0, 0, 0, 0]"
5455,<SOS>gisele<EOS>     ,girl,"['g', 'i', 's', 'e', 'l', 'e']",6,0.0,"[1, 9, 11, 21, 7, 14, 7, 2, 0, 0, 0, 0, 0]"
5445,<SOS>bambi<EOS>      ,girl,"['b', 'a', 'm', 'b', 'i']",5,0.0,"[1, 4, 3, 15, 4, 11, 2, 0, 0, 0, 0, 0, 0]"
3010,<SOS>aidan<EOS>      ,boy,"['a', 'i', 'd', 'a', 'n']",5,1.0,"[1, 3, 11, 6, 3, 16, 2, 0, 0, 0, 0, 0, 0]"
127,<SOS>jess<EOS>       ,boy,"['j', 'e', 's', 's']",4,1.0,"[1, 12, 7, 21, 21, 2, 0, 0, 0, 0, 0, 0, 0]"
1330,<SOS>alphonsus<EOS>  ,boy,"['a', 'l', 'p', 'h', 'o', 'n', 's', 'u', 's']",9,1.0,"[1, 3, 14, 18, 10, 17, 16, 21, 23, 21, 2, 0, 0]"
6544,<SOS>jakayla<EOS>    ,girl,"['j', 'a', 'k', 'a', 'y', 'l', 'a']",7,0.0,"[1, 12, 3, 13, 3, 27, 14, 3, 2, 0, 0, 0, 0]"
5528,<SOS>lissa<EOS>      ,girl,"['l', 'i', 's', 's', 'a']",5,0.0,"[1, 14, 11, 21, 21, 3, 2, 0, 0, 0, 0, 0, 0]"
2933,<SOS>jayce<EOS>      ,boy,"['j', 'a', 'y', 'c', 'e']",5,1.0,"[1, 12, 3, 27, 5, 7, 2, 0, 0, 0, 0, 0, 0]"
726,<SOS>otha<EOS>       ,boy,"['o', 't', 'h', 'a']",4,1.0,"[1, 17, 22, 10, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
1286,<SOS>florencio<EOS>  ,boy,"['f', 'l', 'o', 'r', 'e', 'n', 'c', 'i', 'o']",9,1.0,"[1, 8, 14, 17, 20, 7, 16, 5, 11, 17, 2, 0, 0]"
1178,<SOS>wright<EOS>     ,boy,"['w', 'r', 'i', 'g', 'h', 't']",6,1.0,"[1, 25, 20, 11, 9, 10, 22, 2, 0, 0, 0, 0, 0]"
4360,<SOS>mahalie<EOS>    ,girl,"['m', 'a', 'h', 'a', 'l', 'i', 'e']",7,0.0,"[1, 15, 3, 10, 3, 14, 11, 7, 2, 0, 0, 0, 0]"
6571,<SOS>neha<EOS>       ,girl,"['n', 'e', 'h', 'a']",4,0.0,"[1, 16, 7, 10, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
380,<SOS>allan<EOS>      ,boy,"['a', 'l', 'l', 'a', 'n']",5,1.0,"[1, 3, 14, 14, 3, 16, 2, 0, 0, 0, 0, 0, 0]"
835,<SOS>coy<EOS>        ,boy,"['c', 'o', 'y']",3,1.0,"[1, 5, 17, 27, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4948,<SOS>jacquelyn<EOS>  ,girl,"['j', 'a', 'c', 'q', 'u', 'e', 'l', 'y', 'n']",9,0.0,"[1, 12, 3, 5, 19, 23, 7, 14, 27, 16, 2, 0, 0]"
5927,<SOS>farah<EOS>      ,girl,"['f', 'a', 'r', 'a', 'h']",5,0.0,"[1, 8, 3, 20, 3, 10, 2, 0, 0, 0, 0, 0, 0]"
5704,<SOS>cherise<EOS>    ,girl,"['c', 'h', 'e', 'r', 'i', 's', 'e']",7,0.0,"[1, 5, 10, 7, 20, 11, 21, 7, 2, 0, 0, 0, 0]"
1728,<SOS>rexford<EOS>    ,boy,"['r', 'e', 'x', 'f', 'o', 'r', 'd']",7,1.0,"[1, 20, 7, 26, 8, 17, 20, 6, 2, 0, 0, 0, 0]"
2866,<SOS>johathan<EOS>   ,boy,"['j', 'o', 'h', 'a', 't', 'h', 'a', 'n']",8,1.0,"[1, 12, 17, 10, 3, 22, 10, 3, 16, 2, 0, 0, 0]"
2890,<SOS>jakob<EOS>      ,boy,"['j', 'a', 'k', 'o', 'b']",5,1.0,"[1, 12, 3, 13, 17, 4, 2, 0, 0, 0, 0, 0, 0]"
1005,<SOS>bee<EOS>        ,boy,"['b', 'e', 'e']",3,1.0,"[1, 4, 7, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4131,<SOS>cammie<EOS>     ,girl,"['c', 'a', 'm', 'm', 'i', 'e']",6,0.0,"[1, 5, 3, 15, 15, 11, 7, 2, 0, 0, 0, 0, 0]"
1901,<SOS>odus<EOS>       ,boy,"['o', 'd', 'u', 's']",4,1.0,"[1, 17, 6, 23, 21, 2, 0, 0, 0, 0, 0, 0, 0]"
4316,<SOS>caldonia<EOS>   ,girl,"['c', 'a', 'l', 'd', 'o', 'n', 'i', 'a']",8,0.0,"[1, 5, 3, 14, 6, 17, 16, 11, 3, 2, 0, 0, 0]"
273,<SOS>lucius<EOS>     ,boy,"['l', 'u', 'c', 'i', 'u', 's']",6,1.0,"[1, 14, 23, 5, 11, 23, 21, 2, 0, 0, 0, 0, 0]"
3248,<SOS>maximus<EOS>    ,boy,"['m', 'a', 'x', 'i', 'm', 'u', 's']",7,1.0,"[1, 15, 3, 26, 11, 15, 23, 21, 2, 0, 0, 0, 0]"
6461,<SOS>aylin<EOS>      ,girl,"['a', 'y', 'l', 'i', 'n']",5,0.0,"[1, 3, 27, 14, 11, 16, 2, 0, 0, 0, 0, 0, 0]"
3930,<SOS>otelia<EOS>     ,girl,"['o', 't', 'e', 'l', 'i', 'a']",6,0.0,"[1, 17, 22, 7, 14, 11, 3, 2, 0, 0, 0, 0, 0]"
6123,<SOS>brittni<EOS>    ,girl,"['b', 'r', 'i', 't', 't', 'n', 'i']",7,0.0,"[1, 4, 20, 11, 22, 22, 16, 11, 2, 0, 0, 0, 0]"
3203,<SOS>jelani<EOS>     ,boy,"['j', 'e', 'l', 'a', 'n', 'i']",6,1.0,"[1, 12, 7, 14, 3, 16, 11, 2, 0, 0, 0, 0, 0]"
6385,<SOS>bailee<EOS>     ,girl,"['b', 'a', 'i', 'l', 'e', 'e']",6,0.0,"[1, 4, 3, 11, 14, 7, 7, 2, 0, 0, 0, 0, 0]"
5017,<SOS>nada<EOS>       ,girl,"['n', 'a', 'd', 'a']",4,0.0,"[1, 16, 3, 6, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
2,<SOS>james<EOS>      ,boy,"['j', 'a', 'm', 'e', 's']",5,1.0,"[1, 12, 3, 15, 7, 21, 2, 0, 0, 0, 0, 0, 0]"
1313,<SOS>hilton<EOS>     ,boy,"['h', 'i', 'l', 't', 'o', 'n']",6,1.0,"[1, 10, 11, 14, 22, 17, 16, 2, 0, 0, 0, 0, 0]"
1424,<SOS>stanislaus<EOS> ,boy,"['s', 't', 'a', 'n', 'i', 's', 'l', 'a', 'u', 's']",10,1.0,"[1, 21, 22, 3, 16, 11, 21, 14, 3, 23, 21, 2, 0]"
1413,<SOS>namon<EOS>      ,boy,"['n', 'a', 'm', 'o', 'n']",5,1.0,"[1, 16, 3, 15, 17, 16, 2, 0, 0, 0, 0, 0, 0]"
2920,<SOS>mackenzie<EOS>  ,boy,"['m', 'a', 'c', 'k', 'e', 'n', 'z', 'i', 'e']",9,1.0,"[1, 15, 3, 5, 13, 7, 16, 28, 11, 7, 2, 0, 0]"
2841,<SOS>garett<EOS>     ,boy,"['g', 'a', 'r', 'e', 't', 't']",6,1.0,"[1, 9, 3, 20, 7, 22, 22, 2, 0, 0, 0, 0, 0]"
569,<SOS>wylie<EOS>      ,boy,"['w', 'y', 'l', 'i', 'e']",5,1.0,"[1, 25, 27, 14, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
1270,<SOS>claudie<EOS>    ,boy,"['c', 'l', 'a', 'u', 'd', 'i', 'e']",7,1.0,"[1, 5, 14, 3, 23, 6, 11, 7, 2, 0, 0, 0, 0]"
719,<SOS>marquis<EOS>    ,boy,"['m', 'a', 'r', 'q', 'u', 'i', 's']",7,1.0,"[1, 15, 3, 20, 19, 23, 11, 21, 2, 0, 0, 0, 0]"
5703,<SOS>cristy<EOS>     ,girl,"['c', 'r', 'i', 's', 't', 'y']",6,0.0,"[1, 5, 20, 11, 21, 22, 27, 2, 0, 0, 0, 0, 0]"
2969,<SOS>ridge<EOS>      ,boy,"['r', 'i', 'd', 'g', 'e']",5,1.0,"[1, 20, 11, 6, 9, 7, 2, 0, 0, 0, 0, 0, 0]"
4568,<SOS>janey<EOS>      ,girl,"['j', 'a', 'n', 'e', 'y']",5,0.0,"[1, 12, 3, 16, 7, 27, 2, 0, 0, 0, 0, 0, 0]"
2739,<SOS>donta<EOS>      ,boy,"['d', 'o', 'n', 't', 'a']",5,1.0,"[1, 6, 17, 16, 22, 3, 2, 0, 0, 0, 0, 0, 0]"
6643,<SOS>tamya<EOS>      ,girl,"['t', 'a', 'm', 'y', 'a']",5,0.0,"[1, 22, 3, 15, 27, 3, 2, 0, 0, 0, 0, 0, 0]"
4816,<SOS>edrie<EOS>      ,girl,"['e', 'd', 'r', 'i', 'e']",5,0.0,"[1, 7, 6, 20, 11, 7, 2, 0, 0, 0, 0, 0, 0]"
6275,<SOS>imani<EOS>      ,girl,"['i', 'm', 'a', 'n', 'i']",5,0.0,"[1, 11, 15, 3, 16, 11, 2, 0, 0, 0, 0, 0, 0]"
4006,<SOS>monica<EOS>     ,girl,"['m', 'o', 'n', 'i', 'c', 'a']",6,0.0,"[1, 15, 17, 16, 11, 5, 3, 2, 0, 0, 0, 0, 0]"
5986,<SOS>abbey<EOS>      ,girl,"['a', 'b', 'b', 'e', 'y']",5,0.0,"[1, 3, 4, 4, 7, 27, 2, 0, 0, 0, 0, 0, 0]"
3670,<SOS>liza<EOS>       ,girl,"['l', 'i', 'z', 'a']",4,0.0,"[1, 14, 11, 28, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
741,<SOS>troy<EOS>       ,boy,"['t', 'r', 'o', 'y']",4,1.0,"[1, 22, 20, 17, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
6161,<SOS>cherelle<EOS>   ,girl,"['c', 'h', 'e', 'r', 'e', 'l', 'l', 'e']",8,0.0,"[1, 5, 10, 7, 20, 7, 14, 14, 7, 2, 0, 0, 0]"
335,<SOS>carroll<EOS>    ,boy,"['c', 'a', 'r', 'r', 'o', 'l', 'l']",7,1.0,"[1, 5, 3, 20, 20, 17, 14, 14, 2, 0, 0, 0, 0]"
2622,<SOS>damion<EOS>     ,boy,"['d', 'a', 'm', 'i', 'o', 'n']",6,1.0,"[1, 6, 3, 15, 11, 17, 16, 2, 0, 0, 0, 0, 0]"
2562,<SOS>pamela<EOS>     ,boy,"['p', 'a', 'm', 'e', 'l', 'a']",6,1.0,"[1, 18, 3, 15, 7, 14, 3, 2, 0, 0, 0, 0, 0]"
5997,<SOS>ashleigh<EOS>   ,girl,"['a', 's', 'h', 'l', 'e', 'i', 'g', 'h']",8,0.0,"[1, 3, 21, 10, 14, 7, 11, 9, 10, 2, 0, 0, 0]"
282,<SOS>burton<EOS>     ,boy,"['b', 'u', 'r', 't', 'o', 'n']",6,1.0,"[1, 4, 23, 20, 22, 17, 16, 2, 0, 0, 0, 0, 0]"
4262,<SOS>siddie<EOS>     ,girl,"['s', 'i', 'd', 'd', 'i', 'e']",6,0.0,"[1, 21, 11, 6, 6, 11, 7, 2, 0, 0, 0, 0, 0]"
5206,<SOS>mari<EOS>       ,girl,"['m', 'a', 'r', 'i']",4,0.0,"[1, 15, 3, 20, 11, 2, 0, 0, 0, 0, 0, 0, 0]"
3242,<SOS>kayden<EOS>     ,boy,"['k', 'a', 'y', 'd', 'e', 'n']",6,1.0,"[1, 13, 3, 27, 6, 7, 16, 2, 0, 0, 0, 0, 0]"
2942,<SOS>payton<EOS>     ,boy,"['p', 'a', 'y', 't', 'o', 'n']",6,1.0,"[1, 18, 3, 27, 22, 17, 16, 2, 0, 0, 0, 0, 0]"
2219,<SOS>genaro<EOS>     ,boy,"['g', 'e', 'n', 'a', 'r', 'o']",6,1.0,"[1, 9, 7, 16, 3, 20, 17, 2, 0, 0, 0, 0, 0]"
4575,<SOS>metha<EOS>      ,girl,"['m', 'e', 't', 'h', 'a']",5,0.0,"[1, 15, 7, 22, 10, 3, 2, 0, 0, 0, 0, 0, 0]"
654,<SOS>guss<EOS>       ,boy,"['g', 'u', 's', 's']",4,1.0,"[1, 9, 23, 21, 21, 2, 0, 0, 0, 0, 0, 0, 0]"
3137,<SOS>branson<EOS>    ,boy,"['b', 'r', 'a', 'n', 's', 'o', 'n']",7,1.0,"[1, 4, 20, 3, 16, 21, 17, 16, 2, 0, 0, 0, 0]"
2940,<SOS>spenser<EOS>    ,boy,"['s', 'p', 'e', 'n', 's', 'e', 'r']",7,1.0,"[1, 21, 18, 7, 16, 21, 7, 20, 2, 0, 0, 0, 0]"
755,<SOS>bruno<EOS>      ,boy,"['b', 'r', 'u', 'n', 'o']",5,1.0,"[1, 4, 20, 23, 16, 17, 2, 0, 0, 0, 0, 0, 0]"
3842,<SOS>patty<EOS>      ,girl,"['p', 'a', 't', 't', 'y']",5,0.0,"[1, 18, 3, 22, 22, 27, 2, 0, 0, 0, 0, 0, 0]"
104,<SOS>amos<EOS>       ,boy,"['a', 'm', 'o', 's']",4,1.0,"[1, 3, 15, 17, 21, 2, 0, 0, 0, 0, 0, 0, 0]"
332,<SOS>merton<EOS>     ,boy,"['m', 'e', 'r', 't', 'o', 'n']",6,1.0,"[1, 15, 7, 20, 22, 17, 16, 2, 0, 0, 0, 0, 0]"
4215,<SOS>mora<EOS>       ,girl,"['m', 'o', 'r', 'a']",4,0.0,"[1, 15, 17, 20, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
328,<SOS>dudley<EOS>     ,boy,"['d', 'u', 'd', 'l', 'e', 'y']",6,1.0,"[1, 6, 23, 6, 14, 7, 27, 2, 0, 0, 0, 0, 0]"
4637,<SOS>daphne<EOS>     ,girl,"['d', 'a', 'p', 'h', 'n', 'e']",6,0.0,"[1, 6, 3, 18, 10, 16, 7, 2, 0, 0, 0, 0, 0]"
3051,<SOS>devontae<EOS>   ,boy,"['d', 'e', 'v', 'o', 'n', 't', 'a', 'e']",8,1.0,"[1, 6, 7, 24, 17, 16, 22, 3, 7, 2, 0, 0, 0]"
3794,<SOS>florida<EOS>    ,girl,"['f', 'l', 'o', 'r', 'i', 'd', 'a']",7,0.0,"[1, 8, 14, 17, 20, 11, 6, 3, 2, 0, 0, 0, 0]"
2683,<SOS>nigel<EOS>      ,boy,"['n', 'i', 'g', 'e', 'l']",5,1.0,"[1, 16, 11, 9, 7, 14, 2, 0, 0, 0, 0, 0, 0]"
6444,<SOS>kaylah<EOS>     ,girl,"['k', 'a', 'y', 'l', 'a', 'h']",6,0.0,"[1, 13, 3, 27, 14, 3, 10, 2, 0, 0, 0, 0, 0]"
1321,<SOS>robt<EOS>       ,boy,"['r', 'o', 'b', 't']",4,1.0,"[1, 20, 17, 4, 22, 2, 0, 0, 0, 0, 0, 0, 0]"
6383,<SOS>kianna<EOS>     ,girl,"['k', 'i', 'a', 'n', 'n', 'a']",6,0.0,"[1, 13, 11, 3, 16, 16, 3, 2, 0, 0, 0, 0, 0]"
12,<SOS>walter<EOS>     ,boy,"['w', 'a', 'l', 't', 'e', 'r']",6,1.0,"[1, 25, 3, 14, 22, 7, 20, 2, 0, 0, 0, 0, 0]"
3386,<SOS>kasen<EOS>      ,boy,"['k', 'a', 's', 'e', 'n']",5,1.0,"[1, 13, 3, 21, 7, 16, 2, 0, 0, 0, 0, 0, 0]"
3697,<SOS>velma<EOS>      ,girl,"['v', 'e', 'l', 'm', 'a']",5,0.0,"[1, 24, 7, 14, 15, 3, 2, 0, 0, 0, 0, 0, 0]"
4742,<SOS>gwen<EOS>       ,girl,"['g', 'w', 'e', 'n']",4,0.0,"[1, 9, 25, 7, 16, 2, 0, 0, 0, 0, 0, 0, 0]"
4465,<SOS>icey<EOS>       ,girl,"['i', 'c', 'e', 'y']",4,0.0,"[1, 11, 5, 7, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
4291,<SOS>cyntha<EOS>     ,girl,"['c', 'y', 'n', 't', 'h', 'a']",6,0.0,"[1, 5, 27, 16, 22, 10, 3, 2, 0, 0, 0, 0, 0]"
4140,<SOS>christiana<EOS> ,girl,"['c', 'h', 'r', 'i', 's', 't', 'i', 'a', 'n', 'a']",10,0.0,"[1, 5, 10, 20, 11, 21, 22, 11, 3, 16, 3, 2, 0]"
6292,<SOS>estefania<EOS>  ,girl,"['e', 's', 't', 'e', 'f', 'a', 'n', 'i', 'a']",9,0.0,"[1, 7, 21, 22, 7, 8, 3, 16, 11, 3, 2, 0, 0]"
5372,<SOS>tara<EOS>       ,girl,"['t', 'a', 'r', 'a']",4,0.0,"[1, 22, 3, 20, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
3353,<SOS>rhys<EOS>       ,boy,"['r', 'h', 'y', 's']",4,1.0,"[1, 20, 10, 27, 21, 2, 0, 0, 0, 0, 0, 0, 0]"
1367,<SOS>linzy<EOS>      ,boy,"['l', 'i', 'n', 'z', 'y']",5,1.0,"[1, 14, 11, 16, 28, 27, 2, 0, 0, 0, 0, 0, 0]"
2858,<SOS>bjorn<EOS>      ,boy,"['b', 'j', 'o', 'r', 'n']",5,1.0,"[1, 4, 12, 17, 20, 16, 2, 0, 0, 0, 0, 0, 0]"
3589,<SOS>leora<EOS>      ,girl,"['l', 'e', 'o', 'r', 'a']",5,0.0,"[1, 14, 7, 17, 20, 3, 2, 0, 0, 0, 0, 0, 0]"
6102,<SOS>maira<EOS>      ,girl,"['m', 'a', 'i', 'r', 'a']",5,0.0,"[1, 15, 3, 11, 20, 3, 2, 0, 0, 0, 0, 0, 0]"
1623,<SOS>della<EOS>      ,boy,"['d', 'e', 'l', 'l', 'a']",5,1.0,"[1, 6, 7, 14, 14, 3, 2, 0, 0, 0, 0, 0, 0]"
6338,<SOS>destini<EOS>    ,girl,"['d', 'e', 's', 't', 'i', 'n', 'i']",7,0.0,"[1, 6, 7, 21, 22, 11, 16, 11, 2, 0, 0, 0, 0]"
405,<SOS>clay<EOS>       ,boy,"['c', 'l', 'a', 'y']",4,1.0,"[1, 5, 14, 3, 27, 2, 0, 0, 0, 0, 0, 0, 0]"
6445,<SOS>sarahi<EOS>     ,girl,"['s', 'a', 'r', 'a', 'h', 'i']",6,0.0,"[1, 21, 3, 20, 3, 10, 11, 2, 0, 0, 0, 0, 0]"
4047,<SOS>ellar<EOS>      ,girl,"['e', 'l', 'l', 'a', 'r']",5,0.0,"[1, 7, 14, 14, 3, 20, 2, 0, 0, 0, 0, 0, 0]"
993,<SOS>katherine<EOS>  ,boy,"['k', 'a', 't', 'h', 'e', 'r', 'i', 'n', 'e']",9,1.0,"[1, 13, 3, 22, 10, 7, 20, 11, 16, 7, 2, 0, 0]"
3373,<SOS>gauge<EOS>      ,boy,"['g', 'a', 'u', 'g', 'e']",5,1.0,"[1, 9, 3, 23, 9, 7, 2, 0, 0, 0, 0, 0, 0]"
4741,<SOS>irva<EOS>       ,girl,"['i', 'r', 'v', 'a']",4,0.0,"[1, 11, 20, 24, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
1466,<SOS>franklyn<EOS>   ,boy,"['f', 'r', 'a', 'n', 'k', 'l', 'y', 'n']",8,1.0,"[1, 8, 20, 3, 16, 13, 14, 27, 16, 2, 0, 0, 0]"
2428,<SOS>greggory<EOS>   ,boy,"['g', 'r', 'e', 'g', 'g', 'o', 'r', 'y']",8,1.0,"[1, 9, 20, 7, 9, 9, 17, 20, 27, 2, 0, 0, 0]"
4762,<SOS>jaunita<EOS>    ,girl,"['j', 'a', 'u', 'n', 'i', 't', 'a']",7,0.0,"[1, 12, 3, 23, 16, 11, 22, 3, 2, 0, 0, 0, 0]"
5768,<SOS>trista<EOS>     ,girl,"['t', 'r', 'i', 's', 't', 'a']",6,0.0,"[1, 22, 20, 11, 21, 22, 3, 2, 0, 0, 0, 0, 0]"
5428,<SOS>lesa<EOS>       ,girl,"['l', 'e', 's', 'a']",4,0.0,"[1, 14, 7, 21, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
6226,<SOS>jalissa<EOS>    ,girl,"['j', 'a', 'l', 'i', 's', 's', 'a']",7,0.0,"[1, 12, 3, 14, 11, 21, 21, 3, 2, 0, 0, 0, 0]"
4586,<SOS>louisiana<EOS>  ,girl,"['l', 'o', 'u', 'i', 's', 'i', 'a', 'n', 'a']",9,0.0,"[1, 14, 17, 23, 11, 21, 11, 3, 16, 3, 2, 0, 0]"
6265,<SOS>mariela<EOS>    ,girl,"['m', 'a', 'r', 'i', 'e', 'l', 'a']",7,0.0,"[1, 15, 3, 20, 11, 7, 14, 3, 2, 0, 0, 0, 0]"
6271,<SOS>alysa<EOS>      ,girl,"['a', 'l', 'y', 's', 'a']",5,0.0,"[1, 3, 14, 27, 21, 3, 2, 0, 0, 0, 0, 0, 0]"
1008,<SOS>byrd<EOS>       ,boy,"['b', 'y', 'r', 'd']",4,1.0,"[1, 4, 27, 20, 6, 2, 0, 0, 0, 0, 0, 0, 0]"
5635,<SOS>gabriela<EOS>   ,girl,"['g', 'a', 'b', 'r', 'i', 'e', 'l', 'a']",8,0.0,"[1, 9, 3, 4, 20, 11, 7, 14, 3, 2, 0, 0, 0]"
2628,<SOS>melissa<EOS>    ,boy,"['m', 'e', 'l', 'i', 's', 's', 'a']",7,1.0,"[1, 15, 7, 14, 11, 21, 21, 3, 2, 0, 0, 0, 0]"
2694,<SOS>sedrick<EOS>    ,boy,"['s', 'e', 'd', 'r', 'i', 'c', 'k']",7,1.0,"[1, 21, 7, 6, 20, 11, 5, 13, 2, 0, 0, 0, 0]"
3210,<SOS>jensen<EOS>     ,boy,"['j', 'e', 'n', 's', 'e', 'n']",6,1.0,"[1, 12, 7, 16, 21, 7, 16, 2, 0, 0, 0, 0, 0]"
3374,<SOS>jax<EOS>        ,boy,"['j', 'a', 'x']",3,1.0,"[1, 12, 3, 26, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
1245,<SOS>mattie<EOS>     ,boy,"['m', 'a', 't', 't', 'i', 'e']",6,1.0,"[1, 15, 3, 22, 22, 11, 7, 2, 0, 0, 0, 0, 0]"
3237,<SOS>kadin<EOS>      ,boy,"['k', 'a', 'd', 'i', 'n']",5,1.0,"[1, 13, 3, 6, 11, 16, 2, 0, 0, 0, 0, 0, 0]"
6175,<SOS>ayla<EOS>       ,girl,"['a', 'y', 'l', 'a']",4,0.0,"[1, 3, 27, 14, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
3369,<SOS>damari<EOS>     ,boy,"['d', 'a', 'm', 'a', 'r', 'i']",6,1.0,"[1, 6, 3, 15, 3, 20, 11, 2, 0, 0, 0, 0, 0]"
4635,<SOS>rosalind<EOS>   ,girl,"['r', 'o', 's', 'a', 'l', 'i', 'n', 'd']",8,0.0,"[1, 20, 17, 21, 3, 14, 11, 16, 6, 2, 0, 0, 0]"
4713,<SOS>alleen<EOS>     ,girl,"['a', 'l', 'l', 'e', 'e', 'n']",6,0.0,"[1, 3, 14, 14, 7, 7, 16, 2, 0, 0, 0, 0, 0]"
2406,<SOS>scot<EOS>       ,boy,"['s', 'c', 'o', 't']",4,1.0,"[1, 21, 5, 17, 22, 2, 0, 0, 0, 0, 0, 0, 0]"
3498,<SOS>dollie<EOS>     ,girl,"['d', 'o', 'l', 'l', 'i', 'e']",6,0.0,"[1, 6, 17, 14, 14, 11, 7, 2, 0, 0, 0, 0, 0]"
1954,<SOS>rosario<EOS>    ,boy,"['r', 'o', 's', 'a', 'r', 'i', 'o']",7,1.0,"[1, 20, 17, 21, 3, 20, 11, 17, 2, 0, 0, 0, 0]"
1561,<SOS>frazier<EOS>    ,boy,"['f', 'r', 'a', 'z', 'i', 'e', 'r']",7,1.0,"[1, 8, 20, 3, 28, 11, 7, 20, 2, 0, 0, 0, 0]"
4460,<SOS>elberta<EOS>    ,girl,"['e', 'l', 'b', 'e', 'r', 't', 'a']",7,0.0,"[1, 7, 14, 4, 7, 20, 22, 3, 2, 0, 0, 0, 0]"
4975,<SOS>inell<EOS>      ,girl,"['i', 'n', 'e', 'l', 'l']",5,0.0,"[1, 11, 16, 7, 14, 14, 2, 0, 0, 0, 0, 0, 0]"
5211,<SOS>suellen<EOS>    ,girl,"['s', 'u', 'e', 'l', 'l', 'e', 'n']",7,0.0,"[1, 21, 23, 7, 14, 14, 7, 16, 2, 0, 0, 0, 0]"
5295,<SOS>graciela<EOS>   ,girl,"['g', 'r', 'a', 'c', 'i', 'e', 'l', 'a']",8,0.0,"[1, 9, 20, 3, 5, 11, 7, 14, 3, 2, 0, 0, 0]"
3667,<SOS>gracie<EOS>     ,girl,"['g', 'r', 'a', 'c', 'i', 'e']",6,0.0,"[1, 9, 20, 3, 5, 11, 7, 2, 0, 0, 0, 0, 0]"
2662,<SOS>kenyatta<EOS>   ,boy,"['k', 'e', 'n', 'y', 'a', 't', 't', 'a']",8,1.0,"[1, 13, 7, 16, 27, 3, 22, 22, 3, 2, 0, 0, 0]"
2344,<SOS>noe<EOS>        ,boy,"['n', 'o', 'e']",3,1.0,"[1, 16, 17, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
4153,<SOS>ela<EOS>        ,girl,"['e', 'l', 'a']",3,0.0,"[1, 7, 14, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5457,<SOS>debi<EOS>       ,girl,"['d', 'e', 'b', 'i']",4,0.0,"[1, 6, 7, 4, 11, 2, 0, 0, 0, 0, 0, 0, 0]"
5027,<SOS>lita<EOS>       ,girl,"['l', 'i', 't', 'a']",4,0.0,"[1, 14, 11, 22, 3, 2, 0, 0, 0, 0, 0, 0, 0]"
2947,<SOS>cordaro<EOS>    ,boy,"['c', 'o', 'r', 'd', 'a', 'r', 'o']",7,1.0,"[1, 5, 17, 20, 6, 3, 20, 17, 2, 0, 0, 0, 0]"
3070,<SOS>jaylen<EOS>     ,boy,"['j', 'a', 'y', 'l', 'e', 'n']",6,1.0,"[1, 12, 3, 27, 14, 7, 16, 2, 0, 0, 0, 0, 0]"
3567,<SOS>corinne<EOS>    ,girl,"['c', 'o', 'r', 'i', 'n', 'n', 'e']",7,0.0,"[1, 5, 17, 20, 11, 16, 16, 7, 2, 0, 0, 0, 0]"
3998,<SOS>mai<EOS>        ,girl,"['m', 'a', 'i']",3,0.0,"[1, 15, 3, 11, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
5783,<SOS>treena<EOS>     ,girl,"['t', 'r', 'e', 'e', 'n', 'a']",6,0.0,"[1, 22, 20, 7, 7, 16, 3, 2, 0, 0, 0, 0, 0]"
3090,<SOS>demonte<EOS>    ,boy,"['d', 'e', 'm', 'o', 'n', 't', 'e']",7,1.0,"[1, 6, 7, 15, 17, 16, 22, 7, 2, 0, 0, 0, 0]"
2722,<SOS>jabbar<EOS>     ,boy,"['j', 'a', 'b', 'b', 'a', 'r']",6,1.0,"[1, 12, 3, 4, 4, 3, 20, 2, 0, 0, 0, 0, 0]"
3341,<SOS>landyn<EOS>     ,boy,"['l', 'a', 'n', 'd', 'y', 'n']",6,1.0,"[1, 14, 3, 16, 6, 27, 16, 2, 0, 0, 0, 0, 0]"
6308,<SOS>alexus<EOS>     ,girl,"['a', 'l', 'e', 'x', 'u', 's']",6,0.0,"[1, 3, 14, 7, 26, 23, 21, 2, 0, 0, 0, 0, 0]"
